1K,16K,64K,256K,1M
1.1431184E8,5.2009008E8,8.6384576E8,1.078354688E9,1.121944064E9
1.15199408E8,4.6009008E8,8.66564032E8,1.044107392E9,1.144364544E9
1.15805072E8,3.68689056E8,8.81954496E8,1.047037248E9,1.1459424E9
1.13600216E8,3.68473408E8,8.67206336E8,1.059054656E9,1.139094656E9
1.13787648E8,5.2077568E8,8.67928384E8,1.058018176E9,1.118861568E9
1.135886E8,5.17486144E8,8.54503424E8,1.04634016E9,1.145719168E9
1.15328272E8,4.64078848E8,9.1699872E8,9.80051328E8,1.123115392E9
9.8870888E7,3.66364928E8,8.32003008E8,1.071635456E9,1.14548032E9
1.03335672E8,5.26821824E8,8.70633408E8,1.05446432E9,1.122690816E9
1.14958384E8,5.17467776E8,8.54489728E8,1.049672896E9,1.145362432E9
1.1019648E8,4.59434784E8,8.63044288E8,1.042138624E9,1.121830912E9
1.05377408E8,3.67498432E8,8.62623232E8,1.064006656E9,1.14831232E9
1.1037528E8,3.7098352E8,8.69821632E8,1.039910592E9,1.142645888E9
1.42180768E8,5.17908288E8,8.7771744E8,1.061568E9,1.118066944E9
1.51542704E8,5.21799808E8,8.50688256E8,1.046064384E9,1.145795328E9
1.27082568E8,4.49260288E8,9.1937376E8,1.0561152E9,1.123968768E9
1.10075184E8,3.68942432E8,8.60484544E8,1.058749824E9,1.145375744E9
8.8707528E7,3.68650848E8,8.27106304E8,1.049632896E9,1.125497344E9
1.39087856E8,4.00483584E8,8.76139776E8,1.037470528E9,1.133053824E9
1.68659664E8,3.63958144E8,8.530592E8,1.06785152E9,1.143022464E9
1.1962152E8,3.66537856E8,8.77628416E8,1.057158336E9,1.142179328E9
1.1476444E8,3.68682272E8,9.02903936E8,1.043079616E9,1.12348608E9
9.4799304E7,3.71179744E8,8.3412512E8,1.063389248E9,1.149968384E9
1.50943392E8,5.21454592E8,8.62037632E8,1.042678976E9,1.11948928E9
1.05077336E8,4.58739264E8,9.08150464E8,1.06211328E9,1.127846784E9
1.31721064E8,3.67175424E8,8.67487232E8,1.041602688E9,1.13268288E9
1.82102928E8,3.70861408E8,8.63328384E8,1.06394432E9,1.144975232E9
1.43073792E8,5.22935616E8,8.17257408E8,1.0628448E9,1.145951744E9
1.36793296E8,4.56398304E8,8.67813056E8,1.042894336E9,1.139212416E9
1.11603408E8,3.66562176E8,8.74076928E8,1.061620864E9,1.138701568E9
1.17503288E8,3.68123296E8,8.52248128E8,1.058048896E9,1.118465792E9
1.11695648E8,3.68509056E8,8.7399456E8,1.049239232E9,1.13248832E9
1.14516056E8,5.18709184E8,8.9913152E8,1.046509952E9,1.147824384E9
1.10995184E8,5.3604032E8,8.72226944E8,1.053474944E9,1.143284736E9
1.14806608E8,5.18223648E8,8.31811584E8,1.042081728E9,1.138663424E9
1.15168888E8,4.63530304E8,8.6663328E8,1.057160128E9,1.118006016E9
1.0495272E8,3.67617472E8,8.52701184E8,1.058544128E9,1.148909568E9
1.11186464E8,3.66456416E8,8.68391232E8,1.047159424E9,1.120243456E9
1.14018584E8,3.68474272E8,6.37708096E8,1.073207872E9,1.14534144E9
1.17930088E8,3.69022432E8,9.10478656E8,1.04448864E9,1.122286592E9
1.1705764E8,3.6852944E8,8.7430144E8,1.067090816E9,1.144929408E9
1.13017336E8,3.65314336E8,8.67098176E8,1.045319872E9,1.123408256E9
1.14100544E8,3.6234592E8,8.52033664E8,1.073555712E9,1.150070272E9
1.10789816E8,3.68377536E8,9.17479872E8,1.045676928E9,1.118631296E9
1.11253272E8,3.69968704E8,8.1699872E8,1.036665088E9,1.145865728E9
1.12922896E8,3.64027712E8,8.80004544E8,1.042807168E9,1.139155712E9
1.15689856E8,3.69459552E8,8.97102336E8,1.080220288E9,1.144142976E9
1.14130496E8,3.65526304E8,8.70500736E8,1.050019072E9,1.119319808E9
1.15101288E8,3.71215904E8,8.2967648E8,1.048707968E9,1.145275776E9
1.13831688E8,3.65225088E8,8.58114752E8,1.028475456E9,1.123294592E9
1.17172856E8,3.70369504E8,8.6330976E8,9.96958848E8,1.147977728E9
1.14513432E8,3.57217792E8,8.6215264E8,1.072206784E9,1.12050496E9
1.12575848E8,3.69702848E8,8.64808768E8,1.05080736E9,1.1356704E9
1.13373544E8,3.65712608E8,9.14290944E8,9.83149376E8,1.144920192E9
1.1411616E8,3.68996896E8,8.290016E8,1.069255552E9,1.123589504E9
1.16038896E8,3.64878624E8,8.55763712E8,1.06068704E9,1.145028992E9
1.15159616E8,3.68588E8,8.68853312E8,1.044760704E9,1.12385472E9
1.15092016E8,5.22990336E8,8.75284288E8,1.07492032E9,1.1503872E9
1.33459672E8,4.63240384E8,9.02401088E8,1.044574336E9,1.139490176E9
1.15176848E8,3.66062336E8,8.2716832E8,1.04933088E9,1.11843392E9
1.16513448E8,3.6931712E8,8.6888288E8,1.042948736E9,1.15059136E9
